"lakename","stationname","poolstation","year","season","researcher","lakeregloc","lakecountry","lakearea","lakemeandepth","lakemaxdepth","lakeelevation","watershedarea","h2oresidence","lakefetch","stationdistance","stationdepth","stationlat","stationlong","multiplestations","startday","startmonth","startyear","endday","endmonth","endyear","iceduration","periodn","samplenarrat","sampletype","photicdepth","sampledepth","icedepth","snowdepth","icenarrat","sidata","fadata","gutdata","foodwebnarrat","watertemp","airtemp","averadiation","cvradiation","avesecchidepth","cvsecchidepth","avetotphos","cvtotphos","maxtotphos","avetotdissphos","cvtotdissphos","maxtotdissphos","avetotnitro","cvtotnitro","maxtotnitro","avetotdissnitro","cvtotdissnitro","maxtotdissnitro","avetotdoc","cvtotdoc","maxtotdoc","avesuva","cvsuva","maxsuva","avecolor","cvcolor","maxcolor","avechla","cvchla","maxchla","waterchemnarrat","profiles","avephytoppr","maxphytoppr","phytopprunit","phytopprnarrat","phytomethod","avephytomass","cvphytomass","maxphytomass","avephytocount","cvphytocount","maxphytocount","propchloro","propcrypto","propcyano","propdiatom","propdino","propotherphyto","aveciliamass","cvciliamass","maxciliamass","aveciliacount","cvciliacount","maxciliacount","avehnfmass","cvhnfmass","maxhnfmass","avehnfcount","cvhnfcount","maxhnfcount","zoopmethod","avezoopmass","cvzoopmass","maxzoopmass","avezoopcount","cvzoopcount","maxzoopcount","propdaphnia","propothercladoc","propcyclopoid","propcalanoid","proprotifer","propotherzoop","avebactcount","cvbactcount","maxbactcount","avebactprod","cvbactprod","maxbactprod","bactprodunit","bactprodmethod","bactcompnarrat","bensubstrate","avebenalgalmass","cvbenalgalmass","maxbenalgalmass","avebenchla","cvbenchla","maxbenchla","macrophytemass","benamphdens","bengastrodens","benbivalvedens","beninsectdens","benoligodens","fishnarrat","file"
"Allequash Lake",NA,NA,1982,"iceon","Emily.Stanley","Wisconsin","USA",1.642,2.9,8,500,21.5102,NA,NA,NA,NA,46.038,-89.621,"no",5,"Dec",1981,2,"May",1982,148,NA,"Dissolved nitrogen sometimes greater than total nitrogen.","in situ",4,NA,58.2,10,NA,NA,"no","no",NA,NA,-8.04,NA,NA,2.33,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1.3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.1,0,119.1,0,0,0.095717884,0.011754828,0.675902603,0.216624685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stanley_ntllter_1980s-2010s_cleaned.csv"
"Allequash Lake",NA,NA,1982,"iceoff","Emily.Stanley","Wisconsin","USA",1.642,2.9,8,500,21.5102,NA,NA,NA,NA,46.038,-89.621,"no",11,"May",1982,8,"Sep",1982,NA,NA,"Dissolved nitrogen sometimes greater than total nitrogen.","in situ",6,NA,NA,NA,NA,NA,"no","no",NA,NA,16.32,NA,NA,2.58,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,0.9,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378.2666667,0.713905535,748.4,0.021589707,0.001321819,0.045911174,0.017183645,0.82023264,0.093761015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stanley_ntllter_1980s-2010s_cleaned.csv"
"Allequash Lake",NA,NA,1983,"iceon","Emily.Stanley","Wisconsin","USA",1.642,2.9,8,500,21.5102,NA,NA,NA,NA,46.038,-89.621,"no",19,"Nov",1982,27,"Apr",1983,159,NA,"Dissolved nitrogen sometimes greater than total nitrogen.","in situ",4,NA,28.8,16.5,NA,NA,"no","no",NA,NA,-3.76,NA,NA,2.83,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1.8,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,0,42.9,0.067599068,0,0.305361305,0.067599068,0.372960373,0.186480186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stanley_ntllter_1980s-2010s_cleaned.csv"
"Allequash Lake",NA,NA,1983,"iceoff","Emily.Stanley","Wisconsin","USA",1.642,2.9,8,500,21.5102,NA,NA,NA,NA,46.038,-89.621,"no",25,"May",1983,29,"Sep",1983,NA,NA,"Dissolved nitrogen sometimes greater than total nitrogen.","in situ",6,NA,NA,NA,NA,NA,"no","no",NA,NA,17.65,NA,NA,2.77,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,0.6,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,0.006242785,437.6,0.026666667,0.003678161,0.024827586,0.023793103,0.780229885,0.140804598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stanley_ntllter_1980s-2010s_cleaned.csv"
"Allequash Lake",NA,NA,1984,"iceon","Emily.Stanley","Wisconsin","USA",1.642,2.9,8,500,21.5102,NA,NA,NA,NA,46.038,-89.621,"no",23,"Nov",1983,20,"Apr",1984,149,NA,"Dissolved nitrogen sometimes greater than total nitrogen.","in situ",4,NA,47.9,1.7,NA,NA,"no","no",NA,NA,-6.08,NA,NA,2.86,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.7,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4,0,50.4,0.013888889,0,0.013888889,0.132936508,0.44047619,0.398809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stanley_ntllter_1980s-2010s_cleaned.csv"
"Allequash Lake",NA,NA,1984,"iceoff","Emily.Stanley","Wisconsin","USA",1.642,2.9,8,500,21.5102,NA,NA,NA,NA,46.038,-89.621,"no",23,"May",1984,6,"Sep",1984,NA,NA,"Dissolved nitrogen sometimes greater than total nitrogen.","in situ",6,NA,NA,NA,NA,NA,"no","no",NA,NA,17.45,NA,NA,2.98,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,0.5,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.3,0.060878653,208.8,0.057273188,0.001520527,0.029650279,0.014445008,0.747085656,0.150025342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stanley_ntllter_1980s-2010s_cleaned.csv"
"Allequash Lake",NA,NA,1985,"iceon","Emily.Stanley","Wisconsin","USA",1.642,2.9,8,500,21.5102,NA,NA,NA,NA,46.038,-89.621,"no",9,"Nov",1984,20,"Apr",1985,162,NA,"Dissolved nitrogen sometimes greater than total nitrogen.","in situ",4,NA,43.1,7.1,NA,NA,"no","no",NA,NA,-6.78,NA,NA,3.53,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.9,0,183.9,0.083741164,0,0.007612833,0.010875476,0.675367047,0.22240348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stanley_ntllter_1980s-2010s_cleaned.csv"
"Allequash Lake",NA,NA,1985,"iceoff","Emily.Stanley","Wisconsin","USA",1.642,2.9,8,500,21.5102,NA,NA,NA,NA,46.038,-89.621,"no",30,"Apr",1985,7,"Aug",1985,NA,NA,"Dissolved nitrogen sometimes greater than total nitrogen.","in situ",5,NA,NA,NA,NA,NA,"no","no",NA,NA,15.62,NA,NA,3.1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,0.3,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.5,0.55284915,545.2,0.013884993,0.003225806,0.085974755,0.015007013,0.719495091,0.162412342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stanley_ntllter_1980s-2010s_cleaned.csv"
"Allequash Lake",NA,NA,1986,"iceon","Emily.Stanley","Wisconsin","USA",1.642,2.9,8,500,21.5102,NA,NA,NA,NA,46.038,-89.621,"no",18,"Nov",1985,12,"Apr",1986,145,NA,"Dissolved nitrogen sometimes greater than total nitrogen.","in situ",4,NA,40,13.7,NA,NA,"no","no",NA,NA,-7.12,NA,NA,3.25,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,0,55.6,0.28057554,0,0.021582734,0.050359712,0.597122302,0.050359712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stanley_ntllter_1980s-2010s_cleaned.csv"
"Allequash Lake",NA,NA,1986,"iceoff","Emily.Stanley","Wisconsin","USA",1.642,2.9,8,500,21.5102,NA,NA,NA,NA,46.038,-89.621,"no",20,"May",1986,26,"Aug",1986,NA,NA,"Dissolved nitrogen sometimes greater than total nitrogen.","in situ",6,NA,NA,NA,NA,NA,"no","no",NA,19.88,16.88,NA,NA,3.77,0.37,17,0.404,31,6,0.23,8,353,0.137,420,276,0.094,317,4.41,0.097,5.02,NA,NA,NA,NA,NA,NA,6,0.8,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.05,0.037196329,309.7,0.033773616,0,0.014880455,0.018391573,0.835646213,0.097308142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stanley_ntllter_1980s-2010s_cleaned.csv"
